taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score
"Aves ,Grus grus,Anthropoides paradiseus",Aves ,Aves,Aves,Catalogue of Life,0.75
"Aves ,Grus grus,Anthropoides paradiseus",Grus grus,Grus grus,Grus grus,NCBI,0.988
"Aves ,Grus grus,Anthropoides paradiseus",Anthropoides paradiseus,Anthropoides paradiseus,Anthropoides paradiseus,NCBI,0.988
Grus grus,Grus grus,Grus grus,Grus grus,NCBI,0.988
Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,NCBI,0.988
Grus leucogeranus,Grus leucogeranus,Grus leucogeranus,Grus leucogeranus,NCBI,0.988
"Grus vipio,Anthropoides virgo",Grus vipio,Grus vipio,Grus vipio,Freebase,0.988
"Grus vipio,Anthropoides virgo",Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,NCBI,0.988
Felidae,Felidae,Felidae,Felidae,Catalogue of Life,0.75
Rhincodon typus,Rhincodon typus,Rhincodon typus,Rhincodon typus,NCBI,0.988
Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988
Phoca vitulina,Phoca vitulina,Phoca vitulina,Phoca vitulina,NCBI,0.988
Phoca,Phoca,Phoca,Phoca,Catalogue of Life,0.75
Neochen jubata,Neochen jubata,Neochen jubata,Neochen jubata,NCBI,0.988
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser fabalis,Anser fabalis,Anser fabalis,NCBI,0.988
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser cygnoides,Anser cygnoides,Anser cygnoides,NCBI,0.988
Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,NCBI,0.988
Larus fuscus,Larus fuscus,Larus fuscus,Larus fuscus,NCBI,0.988
Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988
Morus bassanus,Morus bassanus,Morus bassanus,Morus bassanus,NCBI,0.988
Larus argentatus,Larus argentatus,Larus argentatus,Larus argentatus,NCBI,0.988
Numenius arquata,Numenius arquata,Numenius arquata,Numenius arquata,NCBI,0.988
Anas penelope,Anas penelope,Anas penelope,Anas penelope,Freebase,0.988
"Larus fuscus,Larus argentatus",Larus fuscus,Larus fuscus,Larus fuscus,NCBI,0.988
"Larus fuscus,Larus argentatus",Larus argentatus,Larus argentatus,Larus argentatus,NCBI,0.988
Buteo buteo,Buteo buteo,Buteo buteo,Buteo buteo,NCBI,0.988
"Phaetusa simplex,Rynchops niger",Phaetusa simplex,Phaetusa simplex,Phaetusa simplex,NCBI,0.988
"Phaetusa simplex,Rynchops niger",Rynchops niger,Rynchops niger,Rynchops niger,NCBI,0.988
"Eidolon helvum,Eidolon dupreanum",Eidolon helvum,Eidolon helvum,Eidolon helvum,NCBI,0.988
"Eidolon helvum,Eidolon dupreanum",Eidolon dupreanum,Eidolon dupreanum,Eidolon dupreanum,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas discors,Anas discors,Anas discors,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas cyanoptera,Anas cyanoptera,Anas cyanoptera,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas americana,Anas americana,Anas americana,Freebase,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Aythya valisineria,Aythya valisineria,Aythya valisineria,NCBI,0.988
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas discors,Anas cyanoptera,Anas americana,Anas clypeata,Aythya valisineria,Aythya marila",Aythya marila,Aythya marila,Aythya marila,NCBI,0.988
Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,NCBI,0.988
"Gavia stellata,Morus bassanus,Melanitta perspicillata",Gavia stellata,Gavia stellata,Gavia stellata,NCBI,0.988
