taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score,family,class
"Aves ,Grus grus,Anthropoides paradiseus",Aves,Aves,Aves,Catalogue of Life,0.75,,Aves
"Aves ,Grus grus,Anthropoides paradiseus",Grus grus,Grus grus,Grus grus,NCBI,0.988,Gruidae,Aves
"Aves ,Grus grus,Anthropoides paradiseus",Anthropoides paradiseus,Anthropoides paradiseus,Anthropoides paradiseus,NCBI,0.988,Gruidae,Aves
Grus grus,Grus grus,Grus grus,Grus grus,NCBI,0.988,Gruidae,Aves
Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,NCBI,0.988,Gruidae,Aves
Grus leucogeranus,Grus leucogeranus,Grus leucogeranus,Grus leucogeranus,NCBI,0.988,Gruidae,Aves
"Grus vipio,Anthropoides virgo",Grus vipio,Grus vipio,Grus vipio,Freebase,0.988,Gruidae,Aves
"Grus vipio,Anthropoides virgo",Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,NCBI,0.988,Gruidae,Aves
Felidae,Felidae,Felidae,Felidae,Catalogue of Life,0.75,Felidae,Mammalia
Rhincodon typus,Rhincodon typus,Rhincodon typus,Rhincodon typus,NCBI,0.988,Rhincodontidae,Chondrichthyes
Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,NCBI,0.988,Hominidae,Mammalia
Phoca vitulina,Phoca vitulina,Phoca vitulina,Phoca vitulina,NCBI,0.988,Phocidae,Mammalia
Phoca,Phoca,Phoca,Phoca,Catalogue of Life,0.75,Phocidae,Mammalia
Neochen jubata,Neochen jubata,Neochen jubata,Neochen jubata,NCBI,0.988,Anatidae,Aves
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988,Anatidae,Aves
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser fabalis,Anser fabalis,Anser fabalis,NCBI,0.988,Anatidae,Aves
"Anser albifrons,Anser fabalis,Anser cygnoides",Anser cygnoides,Anser cygnoides,Anser cygnoides,NCBI,0.988,Anatidae,Aves
Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,NCBI,0.988,Erinaceidae,Mammalia
Larus fuscus,Larus fuscus,Larus fuscus,Larus fuscus,NCBI,0.988,Laridae,Aves
